transaction_id,customer_id,tr_datetime,amount,region,tr_type,mcc_code
1,1102,2021-01-01 00:00:00,-3241.5513507184774,West,type_b,5414
2,1435,2021-01-01 00:01:00,-4121.615060314391,North,type_e,5415
3,1860,2021-01-01 00:02:00,-4750.678764417536,North,type_d,5411
4,1270,2021-01-01 00:03:00,-993.4255647448126,North,type_a,5415
5,1106,2021-01-01 00:04:00,915.3011018643538,East,type_c,5411
6,1071,2021-01-01 00:05:00,-6345.500273515397,Center,type_c,5411
7,1700,2021-01-01 00:06:00,-5318.229383649721,West,type_e,5411
8,1020,2021-01-01 00:07:00,-3472.4143793110898,West,type_b,5413
9,1614,2021-01-01 00:08:00,-4774.943239433202,South,type_e,5412
10,1121,2021-01-01 00:09:00,183.7911327471495,East,type_e,5413
11,1466,2021-01-01 00:10:00,1806.1079820044033,North,type_e,5412
12,1214,2021-01-01 00:11:00,1119.3690513329648,North,type_d,5413
13,1330,2021-01-01 00:12:00,1126.6594437390129,East,type_d,5412
14,1458,2021-01-01 00:13:00,8354.958576443054,West,type_e,5411
15,1087,2021-01-01 00:14:00,2118.4179981357756,North,type_b,5411
16,1372,2021-01-01 00:15:00,3919.8212394462353,South,type_a,5412
17,1099,2021-01-01 00:16:00,-2073.078748884864,West,type_c,5412
18,1871,2021-01-01 00:17:00,4720.030713307456,Center,type_d,5415
19,1663,2021-01-01 00:18:00,-2311.76261896661,East,type_a,5411
20,1130,2021-01-01 00:19:00,2057.241637942952,West,type_d,5413
21,1661,2021-01-01 00:20:00,-6856.8343409119125,Center,type_d,5415
22,1308,2021-01-01 00:21:00,831.1706599406085,South,type_d,5412
23,1769,2021-01-01 00:22:00,-4876.901175846687,East,type_e,5413
24,1343,2021-01-01 00:23:00,4680.178272419536,North,type_e,5414
25,1491,2021-01-01 00:24:00,4379.382309993922,North,type_d,5414
26,1413,2021-01-01 00:25:00,-2333.1369377954643,Center,type_d,5414
27,1805,2021-01-01 00:26:00,10247.8746431227,West,type_c,5413
28,1385,2021-01-01 00:27:00,-1429.3914809673747,South,type_a,5412
29,1191,2021-01-01 00:28:00,-8060.094503362636,Center,type_a,5413
30,1955,2021-01-01 00:29:00,-3895.5898518134004,South,type_b,5415
31,1276,2021-01-01 00:30:00,-5220.705111789254,South,type_b,5415
32,1160,2021-01-01 00:31:00,1898.0105089312729,South,type_b,5414
33,1459,2021-01-01 00:32:00,-6176.815133362263,East,type_e,5412
34,1313,2021-01-01 00:33:00,-2696.070079031226,Center,type_e,5415
35,1021,2021-01-01 00:34:00,1572.7608526838494,East,type_c,5411
36,1252,2021-01-01 00:35:00,693.2294735590133,West,type_e,5411
37,1747,2021-01-01 00:36:00,-63.21906170889746,West,type_b,5414
38,1856,2021-01-01 00:37:00,630.0025952203365,North,type_d,5414
39,1560,2021-01-01 00:38:00,-1852.5004875382722,North,type_b,5414
40,1474,2021-01-01 00:39:00,-8018.760278331652,North,type_c,5415
41,1058,2021-01-01 00:40:00,-1984.1911037232258,West,type_d,5412
42,1510,2021-01-01 00:41:00,2343.748921576428,South,type_e,5414
43,1681,2021-01-01 00:42:00,-684.6749430470217,South,type_d,5413
44,1475,2021-01-01 00:43:00,1957.4418656525042,Center,type_c,5414
45,1699,2021-01-01 00:44:00,-2933.915147547427,West,type_e,5415
46,1975,2021-01-01 00:45:00,4971.680399389644,North,type_a,5412
47,1782,2021-01-01 00:46:00,-12781.589337356669,West,type_b,5414
48,1189,2021-01-01 00:47:00,707.2025646167729,South,type_b,5411
49,1957,2021-01-01 00:48:00,6744.401735606392,South,type_c,5414
50,1686,2021-01-01 00:49:00,7488.492580207314,East,type_c,5414
51,1957,2021-01-01 00:50:00,-1159.1308462123766,East,type_b,5412
52,1562,2021-01-01 00:51:00,-6630.990778214421,Center,type_d,5413
53,1875,2021-01-01 00:52:00,6832.364211716795,West,type_a,5414
54,1566,2021-01-01 00:53:00,-259.32583402780324,East,type_a,5414
55,1243,2021-01-01 00:54:00,-794.8476963494033,East,type_c,5415
56,1831,2021-01-01 00:55:00,-4464.2732043886535,West,type_c,5412
57,1504,2021-01-01 00:56:00,-6249.437404291287,South,type_d,5415
58,1130,2021-01-01 00:57:00,2819.3158446217712,Center,type_c,5414
59,1484,2021-01-01 00:58:00,3349.3572737933023,Center,type_a,5414
60,1818,2021-01-01 00:59:00,1007.7200089971078,Center,type_b,5411
61,1646,2021-01-01 01:00:00,-3820.2289079692155,East,type_a,5415
62,1020,2021-01-01 01:01:00,-5324.994125545749,South,type_d,5412
63,1840,2021-01-01 01:02:00,-7161.243276099465,Center,type_b,5414
64,1166,2021-01-01 01:03:00,-2802.725880389866,West,type_b,5411
65,1273,2021-01-01 01:04:00,-5029.26782374482,Center,type_a,5411
66,1387,2021-01-01 01:05:00,-8546.548476455228,North,type_b,5413
67,1600,2021-01-01 01:06:00,3256.725061765242,South,type_b,5412
68,1315,2021-01-01 01:07:00,-6595.319307424838,North,type_c,5411
69,1013,2021-01-01 01:08:00,4919.61340715367,South,type_b,5412
70,1241,2021-01-01 01:09:00,1970.358550567318,West,type_d,5414
71,1776,2021-01-01 01:10:00,1471.7059380919952,East,type_b,5413
72,1345,2021-01-01 01:11:00,8326.545230300457,East,type_c,5412
73,1564,2021-01-01 01:12:00,-6429.013170322624,South,type_e,5413
74,1897,2021-01-01 01:13:00,4368.859980243979,Center,type_e,5412
75,1339,2021-01-01 01:14:00,-1488.2128651071482,North,type_d,5412
76,1091,2021-01-01 01:15:00,12855.350783147702,West,type_d,5415
77,1366,2021-01-01 01:16:00,-1903.9721556960465,Center,type_b,5413
78,1955,2021-01-01 01:17:00,-2711.5416806280905,East,type_b,5412
79,1454,2021-01-01 01:18:00,2127.67887428633,Center,type_e,5415
80,1427,2021-01-01 01:19:00,-1044.5426610431973,North,type_e,5415
81,1508,2021-01-01 01:20:00,-3792.314811499346,East,type_a,5413
82,1775,2021-01-01 01:21:00,-4851.383919679187,South,type_e,5414
83,1942,2021-01-01 01:22:00,7291.022441937016,West,type_e,5413
84,1034,2021-01-01 01:23:00,-5817.3081594999585,West,type_d,5412
85,1205,2021-01-01 01:24:00,1115.4378019024991,East,type_a,5414
86,1080,2021-01-01 01:25:00,5280.920698130476,South,type_a,5413
87,1931,2021-01-01 01:26:00,5522.474927213167,North,type_b,5413
88,1561,2021-01-01 01:27:00,-3008.2620109072,West,type_b,5413
89,1871,2021-01-01 01:28:00,-1030.9240031288134,East,type_a,5413
90,1387,2021-01-01 01:29:00,-2000.9675050718636,West,type_a,5414
91,1001,2021-01-01 01:30:00,-7675.093813329375,South,type_b,5412
92,1389,2021-01-01 01:31:00,2687.5869151005754,North,type_d,5415
93,1565,2021-01-01 01:32:00,192.51822817404405,South,type_d,5413
94,1105,2021-01-01 01:33:00,7202.925403009394,Center,type_d,5415
95,1771,2021-01-01 01:34:00,-4116.025486507115,South,type_d,5415
